from,to,x,y,z,qx,qy,qz,qw,translation_sigma,rotation_sigma,loop
46,47,0.32646363188703464,-0.1176051728951153,0.18101882831082605,0.060151336452746604,-0.0029253205618389217,-0.11560735706921356,0.99146769902706888,0.049784467788272502,0.020228984456859823,0
47,48,0.13471189582286147,-0.082810585803668624,0.071259172476761723,0.065563272802915074,0.0080098775677636628,-0.12005776984918677,0.99056722690565513,0.044336095425279602,0.020498404145156562,0
48,49,0.029039543803894396,-0.078816168994046754,-0.016995414103161188,0.068944015274785372,0.013536231377428916,-0.10365271547197502,0.99212882619807619,0.042142447155091342,0.020022038288003519,0
49,50,0.080017294731002941,-0.059985937888545227,0.083486073329471111,0.061715705376680148,-0.01543317269631553,-0.11131336966644231,0.99174710618377226,0.043256820213069265,0.020142534962325175,0
50,51,0.19829710572221604,-0.084644791116830653,0.098053977729647634,0.072300188016175243,-0.0016630403620957587,-0.13144290681446802,0.98868229444940647,0.045921415864767154,0.021023718088070607,0
51,52,0.6699413830388794,-0.063567138317128347,0.36381324512360358,0.014907056206893697,0.0018115587016953466,-0.0078661630381224364,0.99985630037989592,0.059124956129185675,0.015678122258789017,0
21,52,0.6535878094391333,1.7268645981418793,0.33557741139434466,-0.24224143038066262,0.0063617065375518979,0.43723996725115161,0.86608303824475896,0.13743634982753655,0.035000000000000003,1
52,53,0.64794377091144018,-0.1235287774562206,0.3581713555932815,0.035977032886180989,0.0030211834581678845,-0.077237148065279204,0.99635884525303475,0.058764614455976277,0.018414494545548048,0
53,54,0.56315874471224703,-0.076029673098743977,0.32855159967293135,0.065147092561608291,-0.013396745367115263,-0.10908836980188914,0.99180447222136692,0.056410256636190557,0.020124606288680288,0
54,55,-0.0048064093664983432,-0.06566757274551982,0.00010519846059597882,0.075698797016671815,0.014468463581875375,-0.1348149099491438,0.9878690681194614,0.041646082992288551,0.02123680382693199,0
55,56,-0.017553503386015024,-0.072273182280179427,0.018484997249134993,0.062884548264341908,-0.011651171122474192,-0.12393549157817849,0.99022713441328181,0.041915925605504986,0.020596806332767649,0
56,57,-0.00088302612867252606,-0.095184612713774541,-0.01124468015482849,0.079196005947193115,-0.00010255227464986206,-0.12837490394241358,0.98855847887862414,0.042396264418892403,0.021056640918076578,0
57,58,0.39960821754169018,-0.14392176200196438,0.23447415334675381,0.063518888034433063,0.00010921744123849683,-0.11320247276937445,0.99153947934175513,0.052128951152415087,0.02020691162693718,0
58,59,0.72608832578688798,0.024313596540220139,0.38773910274069712,-0.018693365461128191,0.0087198810412253622,0.011729265477524396,0.99971843340698752,0.060587268814957088,0.015949239370941996,0
59,60,0.65729623041781338,-0.04946299068798421,0.40339825472719815,0.021552215003142309,-0.0037801722982825771,-0.017739137931638664,0.99960318892613387,0.059319922908202434,0.016126889268476594,0
60,61,0.66952589264185214,0.0083704219052362916,0.38062152039859831,-0.0039035488409069116,-0.0041280650994860273,0.010984985258440157,0.99992352281754682,0.059254994914814979,0.015494702034817344,0
61,62,0.43200882357913439,0.041795979199539701,0.2501492279333184,-0.068488117025645862,-0.00025817005782603997,0.11298950187055699,0.99123291089508625,0.052523806424244375,0.020300544710796134,0
62,63,-0.025941382376745814,0.075657626691733704,-0.0027269945062661782,-0.072713816629317668,-0.0022094310563952504,0.12640753546242889,0.98930731032572472,0.042000698049319204,0.020854721116814804,0
27,63,-0.1497246656858266,3.3950889607100083,-0.14402974140912383,-0.14372482394942951,-0.003866511778794453,0.23277317511621412,0.96184451654811987,0.14592178876610376,0.035000000000000003,1
63,64,-0.014875643611906852,0.054578489616069703,-0.019855869800785464,-0.077529004834025403,0.013505190727378377,0.10753152014220362,0.9910821537131872,0.041498822843764743,0.020345991413984865,0
64,65,-0.011333869794754037,0.081742625520679901,-0.023008714983487,-0.068031569598860989,-0.0069830912720383019,0.1502903639781609,0.98627366814161366,0.042141803328495916,0.021635142643021778,0
65,66,-0.025312029957177629,0.070632244420062662,-0.0062583367763169306,-0.073988834492121569,-0.0092665791185878883,0.11621202470582997,0.99042139930218998,0.041882282456151033,0.020540810475376713,0
66,67,0.087964618909017744,0.09221009486684828,0.053488195344320477,-0.082800586903447937,-0.0056666277371375607,0.14077408125038801,0.98655694725983378,0.043455201044833906,0.021566163070480066,0
67,68,0.10474798143732755,0.08010942356987627,0.060387507284619169,-0.064359172283090849,0.0023891812780529919,0.13284120314892994,0.9890426702128684,0.043625974903038364,0.020926860612865448,0
68,69,0.074554730126950908,0.060848600930369035,0.045319370600254594,-0.06347278407607683,-0.0014935102952317438,0.12804924292799286,0.98973348255689397,0.042659276848492959,0.020736656194736278,0
69,70,0.0023969771635012904,0.062600384412474508,-0.0042389623805654253,-0.072975018934547303,0.012446809394821786,0.10693053815689359,0.99150672390905581,0.041569737722952423,0.020216995616131338,0
70,71,0.081392069564215852,0.099665987361206909,0.08240745266511551,-0.0849207937596278,-0.0065695700013980963,0.16635406822776361,0.98238058995549382,0.043820092135618563,0.022519871304302698,0
