id,stamp,odom_x,odom_y,odom_z,odom_qx,odom_qy,odom_qz,odom_qw,map_x,map_y,map_z,map_qx,map_qy,map_qz,map_qw
10,1789653886.7187135,6.3322252928179115,-0.5345224532651458,-0.035795064743698098,0.0788182280034051,0.25312854353683617,-0.2755375127394204,0.92400904024504815,6.3301107641194836,-0.53706856606063158,-0.027568322971041413,0.07895413483096142,0.25217148533411016,-0.27476301978153461,0.92448962651725586
11,1789653887.2187908,6.2700385068265474,-0.56734709267426675,-0.016219428963697054,0.11183031767224685,0.23736123402270448,-0.39848821207177032,0.87884058251326991,6.2678281436457217,-0.57001208906355216,-0.0080874227211791324,0.1122003885879988,0.23640584435000822,-0.39754401882496687,0.8794783127822744
12,1789653887.8189244,6.186533424122735,-0.6198707155203943,-0.016530599454159956,0.13977523637400216,0.2232621662042418,-0.52855215892405316,0.8070003121033994,6.1843132418992264,-0.62271116153965966,-0.0085711836302751997,0.14042187419466959,0.22237952497368821,-0.52746900250802864,0.80784001851438281
13,1789653890.7187855,6.4882403225356242,-0.94163105063081487,-0.052862553088889042,0.10156705375268799,0.24474632602192239,-0.42074654266484351,0.86761495856527926,6.48664452092118,-0.94386323628829227,-0.044111601110555537,0.10213926883203146,0.24364970969754601,-0.419483172986234,0.86846776353999511
14,1789653893.1189351,6.5180260126279785,-1.145502460604356,-0.03856129494340392,0.14037601329399468,0.21866217626353071,-0.53683721220519798,0.8026750495406042,6.5167590430283431,-1.1477004350896882,-0.029772362338196971,0.14124651994860876,0.2176947699053749,-0.53543117713183375,0.80372374751121556
15,1789653894.3188689,6.4918071343831896,-1.2796756257621877,-0.042502635048368015,0.17018428141703479,0.1976526922677182,-0.65296208755457874,0.71106345414043959,6.4908109835198022,-1.28197027691902,-0.033844470800378064,0.17137035614016194,0.19689880742165039,-0.6514741972986372,0.71235133952735852
16,1789653897.4187596,6.5286163426574326,-2.045237527375614,-0.049945042605450934,0.1753193835402681,0.1926117330877683,-0.65801909482691467,0.70652296839877871,6.5306440119154177,-2.0470346645695434,-0.042082242413482109,0.17655080030846013,0.1918927875792783,-0.65650160370702482,0.70782244759233293
17,1789653899.8189833,6.579422328516487,-2.8191354973469487,-0.061182201284950957,0.17349484030387979,0.18963811423212695,-0.65276226338407184,0.71262778048569786,6.5845615635376715,-2.8203821425707822,-0.054126042418496771,0.1747525946030497,0.18891079966971522,-0.65122454418695896,0.71391934663247392
18,1789653900.5189676,6.5205558884633916,-2.9302679615568183,-0.059377606126088368,0.19069228691323609,0.1736520640947237,-0.74058564219606471,0.62049522070708929,6.5263816665013064,-2.9315019990148579,-0.052797138535553498,0.19213901903123598,0.17318516935835621,-0.73914620749244453,0.62189418587856882
19,1789653902.8189838,6.3150779461407573,-3.3526785747366219,-0.043139402023394051,0.20326694159586817,0.13497080604079204,-0.83082247798437081,0.50019940228545068,6.3226811316953029,-3.3542939688429021,-0.037996193354703695,0.20492431646225934,0.13482158784649523,-0.82955758959737069,0.50166061188260147
20,1789653903.3189328,6.2490430024246697,-3.332254356307752,-0.052900376100725323,0.23523550407741728,0.099568819680149398,-0.88941416179622235,0.37906827427934159,6.2569396749644186,-3.3338823987913657,-0.048125471212481487,0.23702773320536116,0.099764529343433606,-0.88828935526059549,0.38053503610985279
